,Date,Site ID,Daily Mean PM2.5 Concentration,Units_PM2.5,Daily AQI Value_PM2.5,State,County,Site Latitude,Site Longitude,Daily Max 8-hour Ozone Concentration,Units_O3,Daily AQI Value_O3,Daily Max 1-hour NO2 Concentration,Units_NO2,Daily AQI Value_NO2,Daily Max 8-hour CO Concentration,Units_CO,Daily AQI Value_CO
0,01/01/2025,60010009,12.2,ug/m3 LC,57.0,California,Alameda,37.743065,-122.169935,0.01,ppm,9.0,,,,,,
1,01/01/2025,60010011,20.9,ug/m3 LC,73.0,California,Alameda,37.814781,-122.282347,0.012,ppm,11.0,,,,,,
2,01/01/2025,60010012,11.0,ug/m3 LC,55.0,California,Alameda,37.793624,-122.263376,,,,,,,,,
3,01/01/2025,60010013,14.0,ug/m3 LC,60.0,California,Alameda,37.8647670009145,-122.302741,0.008,ppm,7.0,,,,,,
4,01/01/2025,60010015,8.4,ug/m3 LC,47.0,California,Alameda,37.7012220009132,-121.903019,,,,,,,,,
5,01/01/2025,60010016,11.3,ug/m3 LC,55.0,California,Alameda,37.68975,-121.77155,0.022,ppm,20.0,,,,,,
6,01/01/2025,60012001,,,,California,Alameda,37.654456,-122.031547,0.026,ppm,24.0,,,,,,
7,01/01/2025,60050002,,,,California,Amador,38.342606,-120.764426,0.022,ppm,20.0,,,,,,
8,01/01/2025,60070008,19.2,ug/m3 LC,70.0,California,Butte,39.76168,-121.84047,0.014,ppm,13.0,12.3,ppb,11.0,0.5,ppm,6.0
9,01/01/2025,60070008,19.7,ug/m3 LC,71.0,California,Butte,39.76168,-121.84047,0.014,ppm,13.0,12.3,ppb,11.0,0.5,ppm,6.0
10,01/01/2025,60072003,4.6,ug/m3 LC,26.0,California,Butte,39.75786,-121.60791,0.029,ppm,27.0,,,,,,
11,01/01/2025,60074001,14.6,ug/m3 LC,61.0,California,Butte,39.327563,-121.668811,,,,,,,,,
12,01/01/2025,60090001,9.7,ug/m3 LC,52.0,California,Calaveras,38.20185,-120.680277,0.021,ppm,19.0,,,,,,
13,01/01/2025,60110007,1.6,ug/m3 LC,9.0,California,Colusa,39.0212210009231,-122.281803,,,,,,,,,
14,01/01/2025,60111002,12.3,ug/m3 LC,57.0,California,Colusa,39.18919,-121.99887,0.016,ppm,15.0,,,,,,
15,01/01/2025,60130002,7.8,ug/m3 LC,43.0,California,Contra Costa,37.936013,-122.026154,0.012,ppm,11.0,,,,,,
16,01/01/2025,60131004,10.9,ug/m3 LC,54.0,California,Contra Costa,37.9604,-122.356811,0.016,ppm,15.0,,,,,,
17,01/01/2025,60150002,0.2,ug/m3 LC,1.0,California,Del Norte,41.560952388,-124.083964246,,,,,,,,,
18,01/01/2025,60150007,2.5,ug/m3 LC,14.0,California,Del Norte,41.7561300009374,-124.20347,,,,,,,,,
19,01/01/2025,60172004,,,,California,El Dorado,38.73196,-120.81162,0.014,ppm,13.0,,,,,,
20,01/01/2025,60179001,1.6,ug/m3 LC,9.0,California,El Dorado,38.9248,-119.97,,,,,,,,,
21,01/01/2025,60179002,0.2,ug/m3 LC,1.0,California,El Dorado,38.98,-120.1,,,,,,,,,
22,01/01/2025,60190007,,,,California,Fresno,36.705474,-119.741332,0.024,ppm,22.0,26.2,ppb,25.0,,,
23,01/01/2025,60190011,64.2,ug/m3 LC,157.0,California,Fresno,36.78538,-119.77321,0.028,ppm,26.0,22.2,ppb,21.0,1.2,ppm,14.0
24,01/01/2025,60190011,39.5,ug/m3 LC,111.0,California,Fresno,36.78538,-119.77321,0.028,ppm,26.0,22.2,ppb,21.0,1.2,ppm,14.0
25,01/01/2025,60190011,35.6,ug/m3 LC,101.0,California,Fresno,36.78538,-119.77321,0.028,ppm,26.0,22.2,ppb,21.0,1.2,ppm,14.0
26,01/01/2025,60190242,,,,California,Fresno,36.841592,-119.874739,0.028,ppm,26.0,14.9,ppb,13.0,,,
27,01/01/2025,60190500,7.5,ug/m3 LC,42.0,California,Fresno,36.9851185574381,-119.658339349936,0.031,ppm,29.0,,,,,,
28,01/01/2025,60192008,8.0,ug/m3 LC,44.0,California,Fresno,36.198672,-120.101096,,,,,,,,,
