,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,diff,isFire,fire_cat,geometry,index_right,poly_IncidentName,poly_GISAcres,attr_FireCause,attr_POOState,attr_FireOutDateTime,attr_POOCounty,attr_FireDiscoveryDateTime,attr_ICS209RptForTimePeriodFrom,attr_ContainmentDateTime,in_named_fire,endFire
4751,4751,4751,4751,4751,4751,4751,4751,4751,34.09137,-118.53346,307.96,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,284.5,0.69,N,0,23.45999999999998,1,0,POINT (-118.53346 34.09137),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4752,4752,4752,4752,4752,4752,4752,4752,4752,34.08957,-118.54327,295.43,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.03,0.81,N,0,12.400000000000034,1,0,POINT (-118.54327 34.08957),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4753,4753,4753,4753,4753,4753,4753,4753,4753,34.0888,-118.53882,303.43,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.05,0.81,N,0,20.379999999999995,1,0,POINT (-118.53882 34.0888),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4754,4754,4754,4754,4754,4754,4754,4754,4754,34.08802,-118.53436,297.55,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.53,1.95,N,0,14.020000000000039,1,0,POINT (-118.53436 34.08802),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4755,4755,4755,4755,4755,4755,4755,4755,4755,34.08724,-118.52988,298.88,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,284.09,1.95,N,0,14.79000000000002,1,0,POINT (-118.52988 34.08724),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4756,4756,4756,4756,4756,4756,4756,4756,4756,34.08648,-118.52547,296.43,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,284.23,0.97,N,0,12.199999999999989,1,0,POINT (-118.52547 34.08648),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4757,4757,4757,4757,4757,4757,4757,4757,4757,34.08468,-118.53524,344.72,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,286.94,1.95,N,0,57.78000000000003,1,0,POINT (-118.53524 34.08468),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4758,4758,4758,4758,4758,4758,4758,4758,4758,34.08622,-118.54409,305.09,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.74,0.81,N,0,21.349999999999966,1,0,POINT (-118.54409 34.08622),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4759,4759,4759,4759,4759,4759,4759,4759,4759,34.08545,-118.5397,316.76,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.93,0.81,N,0,32.829999999999984,1,0,POINT (-118.5397 34.08545),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4760,4760,4760,4760,4760,4760,4760,4760,4760,34.08391,-118.53082,312.02,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.08,1.95,N,0,26.939999999999998,1,0,POINT (-118.53082 34.08391),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
